"Plantilla para importar datos"
"Tabla:","mercadolibre"
""
""
"Notas:"
"Por favor, no cambie los encabezados de la plantilla."
"La primera columna de datos debe estar en blanco."
"Si desea cargar nuevos registros, deje en blanco la columna ""name"" (ID)"
"Si va a cargar nuevos registros, y existen ""Secuencias e identificadores"", estas serán obligatorias"
"Sólo los campos obligatorios son necesarios para los nuevos registros. Puede eliminar columnas de carácter no obligatorio, si lo desea."
"Para actualizar datos, puedes editar sólo las columnas que necesites"
"Sólo se pueden cargar hasta 5.000 registros de una sola vez. (Puede ser menos en algunos casos)"
""
"DocType:","mercadolibre",""
"Etiquetas de columna:","Identificador","Clave API"
"Nombre de columna:","name","api_key"
"Obligatorio:","Yes","Yes"
"Tipo:","Data","Data"
"Info:","",""
"Comience ingresando datos debajo de esta línea"
"","""PRE00001""","wewewewewe"
"","""ac269b32c5""","hddjfsdbii234i34b23"
